id,observed_on,latitude,longitude,scientific_name,common_name
97578,2012,35.768381,-78.667862,Pyrus calleryana,Callery pear
603890,2014,35.939,-79.053,Pyrus calleryana,Callery pear
603969,2014,35.938129,-79.05324,Pyrus calleryana,Callery pear
906894,2014,35.611249,-82.569647,Pyrus calleryana,Callery pear
1170437,2014,35.723224,-79.189639,Pyrus calleryana,Callery pear
1170486,2014,35.723224,-79.189639,Pyrus calleryana,Callery pear
1308499,2015,35.81168,-78.71393,Pyrus calleryana,Callery pear
1338593,2015,35.547973,-82.472059,Pyrus calleryana,Callery pear
2337296,2015,36.46414,-76.02430167,Pyrus calleryana,Callery pear
2448162,2015,36.07286493,-79.81345831,Pyrus calleryana,Callery pear
2448423,2015,36.07261166,-79.80882942,Pyrus calleryana,Callery pear
2557365,2016,35.669855,-81.221471,Pyrus calleryana,Callery pear
2782108,2016,35.56534802,-82.57550865,Pyrus calleryana,Callery pear
2789846,2016,35.81384309,-78.71181293,Pyrus calleryana,Callery pear
2860607,2016,35.64531815,-82.29856942,Pyrus calleryana,Callery pear
3908432,2015,35.37901266,-80.91565311,Pyrus calleryana,Callery pear
4216448,2016,35.90908191,-79.05498376,Pyrus calleryana,Callery pear
4268916,2016,35.91277954,-79.05703129,Pyrus calleryana,Callery pear
4518177,2016,35.89263611,-79.05976111,Pyrus calleryana,Callery pear
4653362,2016,35.50738833,-80.977555,Pyrus calleryana,Callery pear
4653759,2016,35.89997833,-79.04111383,Pyrus calleryana,Callery pear
5119274,2017,35.688823,-81.190333,Pyrus calleryana,Callery pear
5151660,2017,35.81176228,-78.71711566,Pyrus calleryana,Callery pear
5200115,2017,35.95899898,-80.12109098,Pyrus calleryana,Callery pear
5307176,2017,35.616155,-82.322797,Pyrus calleryana,Callery pear
5323050,2017,35.698781,-82.636592,Pyrus calleryana,Callery pear
5410170,2017,35.698781,-82.636592,Pyrus calleryana,Callery pear
5726348,2017,35.80828168,-78.71807256,Pyrus calleryana,Callery pear
5787395,2017,35.76817374,-78.6778852,Pyrus calleryana,Callery pear
5801670,2017,35.67755016,-78.62508763,Pyrus calleryana,Callery pear
5838768,2017,35.88828644,-78.62329209,Pyrus calleryana,Callery pear
5885287,2017,35.7650783,-78.6817104,Pyrus calleryana,Callery pear
6710762,2017,35.92186112,-79.05530278,Pyrus calleryana,Callery pear
7682711,2017,36.13669836,-78.71343059,Pyrus calleryana,Callery pear
7683079,2017,36.15028031,-78.73251761,Pyrus calleryana,Callery pear
7703501,2017,35.78411633,-78.67708833,Pyrus calleryana,Callery pear
7703509,2017,35.78397417,-78.67709387,Pyrus calleryana,Callery pear
7704011,2017,35.78412996,-78.67720393,Pyrus calleryana,Callery pear
7704137,2017,35.78403208,-78.67698558,Pyrus calleryana,Callery pear
7953321,2017,35.46319493,-82.51550428,Pyrus calleryana,Callery pear
8170728,2017,35.90961026,-79.05571248,Pyrus calleryana,Callery pear
8326109,2017,35.88148667,-79.08418333,Pyrus calleryana,Callery pear
8453862,2017,35.73116876,-78.44677895,Pyrus calleryana,Callery pear
8539694,2017,35.73123334,-78.44674492,Pyrus calleryana,Callery pear
8591702,2017,35.95616105,-79.01681081,Pyrus calleryana,Callery pear
8601375,2017,35.73100649,-78.44599784,Pyrus calleryana,Callery pear
8763719,2017,35.9127515,-79.09336181,Pyrus calleryana,Callery pear
8805770,2017,35.658494,-82.693993,Pyrus calleryana,Callery pear
