id,observed_on,quality_grade,latitude,longitude,scientific_name,common_name
3390442,2016-06-04,research,35.9002761841,-81.8894424438,Kalmia latifolia,mountain laurel
3408728,2016-06-04,research,35.9002761841,-81.8897247314,Kalmia latifolia,mountain laurel
3419832,2016-06-09,research,36.3405599445,-80.4749216606,Kalmia latifolia,mountain laurel
3419840,2016-06-09,research,36.3406665624,-80.4748600536,Kalmia latifolia,mountain laurel
3472277,2016-05-19,research,35.827139973,-81.9205103805,Kalmia latifolia,mountain laurel
3482476,2016-06-19,research,35.5636133333,-82.7860416667,Kalmia latifolia,mountain laurel
3564151,2016-06-28,research,35.7535130556,-82.2783469444,Kalmia latifolia,mountain laurel
3633704,2016-06-28,research,35.7572322778,-82.2687702222,Kalmia latifolia,mountain laurel
3646579,2016-07-04,research,35.7045017369,-82.3777989206,Kalmia latifolia,mountain laurel
3753695,2016-07-26,research,36.2487111111,-81.4553527778,Kalmia latifolia,mountain laurel
3772747,2016-06-20,research,35.4663066667,-82.62898,Kalmia latifolia,mountain laurel
3812975,2016-05-31,research,35.5595092773,-83.3126220703,Kalmia latifolia,mountain laurel
3815502,2016-06-01,research,35.7689928,-82.2657503,Kalmia latifolia,mountain laurel
3831152,2016-05-14,research,35.2680383333,-82.4478833333,Kalmia latifolia,mountain laurel
3866774,2014-05-22,research,35.5077443395,-82.0044501055,Kalmia latifolia,mountain laurel
3873005,2016-07-28,research,36.3952722222,-81.5573416667,Kalmia latifolia,mountain laurel
3891626,2016-08-14,research,35.58659,-83.0723866667,Kalmia latifolia,mountain laurel
3907966,2016-08-15,research,35.586745,-83.0754633333,Kalmia latifolia,mountain laurel
3921023,2016-08-19,research,35.50376,-83.154606,Kalmia latifolia,mountain laurel
3921116,2016-08-19,research,35.513347,-83.294141,Kalmia latifolia,mountain laurel
3935409,2016-08-19,research,35.4679416667,-83.1417083333,Kalmia latifolia,mountain laurel
3935857,2016-08-16,research,35.582625,-83.0719138889,Kalmia latifolia,mountain laurel
3936399,2016-08-18,research,35.4844444444,-83.1517861111,Kalmia latifolia,mountain laurel
3936975,2016-08-18,research,35.5871555556,-83.0755833333,Kalmia latifolia,mountain laurel
3940901,2014-06-06,research,35.4025228964,-82.7545514276,Kalmia latifolia,mountain laurel
3940908,2014-06-06,research,35.4026978,-82.7540579,Kalmia latifolia,mountain laurel
3940917,2014-06-07,research,35.4026978,-82.7540579,Kalmia latifolia,mountain laurel
3989181,2016-06-24,research,35.5752683333,-82.4960233333,Kalmia latifolia,mountain laurel
4039896,2014-06-21,research,35.7689928,-82.2657503,Kalmia latifolia,mountain laurel
4072186,2016-09-06,research,35.49575,-82.608993,Kalmia latifolia,mountain laurel
4177907,2016-05-20,research,36.428408,-80.707043,Kalmia latifolia,mountain laurel
4188999,2016-09-24,research,35.58990535,-82.34081967,Kalmia latifolia,mountain laurel
4255534,2016-10-02,research,35.3995013796,-79.9884726294,Kalmia latifolia,mountain laurel
4331383,2016-10-10,research,36.3406899898,-80.4827433173,Kalmia latifolia,mountain laurel
4378239,2012-04-12,research,35.2134871,-81.2931663,Kalmia latifolia,mountain laurel
4379071,2012-05-01,research,35.677228,-81.095192,Kalmia latifolia,mountain laurel
4413478,2016-10-22,research,36.1491483311,-81.6927494948,Kalmia latifolia,mountain laurel
4450394,2016-10-28,research,36.38346384,-80.72294767,Kalmia latifolia,mountain laurel
4592346,2016-11-12,research,36.0843078965,-79.0097588673,Kalmia latifolia,mountain laurel
4608105,2016-11-12,research,36.3919101914,-80.240525683,Kalmia latifolia,mountain laurel
4641591,2016-11-26,research,36.39615,-80.25600296,Kalmia latifolia,mountain laurel
4847074,2016-12-26,research,35.21706043,-81.29761863,Kalmia latifolia,mountain laurel
4999549,2017-01-18,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5004834,2017-01-18,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5148204,2017-02-14,research,35.612478,-82.566015,Kalmia latifolia,mountain laurel
5205318,2017-02-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5417035,2017-02-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5430302,2017-03-22,research,35.313711,-83.176533,Kalmia latifolia,mountain laurel
5443554,2017-03-24,research,36.0634528333,-79.1149361667,Kalmia latifolia,mountain laurel
5509836,2017-03-20,research,36.399251,-81.068766,Kalmia latifolia,mountain laurel
5526602,2017-03-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5526780,2017-03-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5527214,2017-03-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5532229,2017-03-25,research,35.497852,-82.60824,Kalmia latifolia,mountain laurel
5689153,2017-04-14,research,35.467361543,-78.9113774105,Kalmia latifolia,mountain laurel
5709914,2017-04-14,research,36.257595,-77.8801333333,Kalmia latifolia,mountain laurel
5732130,2017-04-15,research,35.4655416667,-78.9116966667,Kalmia latifolia,mountain laurel
5733311,2017-04-15,research,35.4670757382,-78.9117042628,Kalmia latifolia,mountain laurel
5809771,2017-04-17,research,35.4645067,-78.8995214,Kalmia latifolia,mountain laurel
5820507,2017-04-18,research,35.9335921007,-78.5679031537,Kalmia latifolia,mountain laurel
5861163,2017-04-19,research,35.333285,-80.976197,Kalmia latifolia,mountain laurel
5873635,2017-04-09,research,35.668447,-82.45568,Kalmia latifolia,mountain laurel
5922764,2017-04-22,research,35.9510304942,-78.580457903,Kalmia latifolia,mountain laurel
5986590,2017-04-26,research,35.6772154,-81.0951944,Kalmia latifolia,mountain laurel
6095342,2017-05-03,research,35.622555,-82.2789383333,Kalmia latifolia,mountain laurel
6116752,2017-05-06,research,36.0803305,-79.0057972167,Kalmia latifolia,mountain laurel
6116916,2017-05-06,research,36.0442611667,-79.0464861667,Kalmia latifolia,mountain laurel
6139717,2017-05-03,research,35.655107,-82.696244,Kalmia latifolia,mountain laurel
6171890,2017-04-15,research,35.8748414492,-78.7564017624,Kalmia latifolia,mountain laurel
6176575,2017-05-11,research,35.0039,-83.3775116667,Kalmia latifolia,mountain laurel
6197339,2017-05-13,research,36.0807888333,-79.0052111167,Kalmia latifolia,mountain laurel
6202156,2017-05-13,research,35.3656416667,-81.0895833333,Kalmia latifolia,mountain laurel
6207312,2008-05-07,research,36.2511559314,-77.8849983215,Kalmia latifolia,mountain laurel
6209867,2017-05-12,research,35.573838292,-82.5708408016,Kalmia latifolia,mountain laurel
6235735,2017-05-15,research,35.271411669,-82.447220608,Kalmia latifolia,mountain laurel
6238514,2017-05-16,research,35.817422,-81.180358,Kalmia latifolia,mountain laurel
6245891,2017-05-15,research,35.2348278664,-82.737791016,Kalmia latifolia,mountain laurel
6259143,2017-05-02,research,35.8377506399,-78.7590551376,Kalmia latifolia,mountain laurel
6277343,2017-05-15,research,35.2727351105,-82.4478440546,Kalmia latifolia,mountain laurel
6286406,2017-05-20,research,35.63863747,-82.28861563,Kalmia latifolia,mountain laurel
